GEO_ID,NAME,MEDIAN_INCOME
0500000US55039,Fond du Lac County,259
0500000US55041,Forest County,29
0500000US55043,Grant County,213
0500000US55045,Green County,102
0500000US55047,Green Lake County,94
0500000US55049,Iowa County,82
0500000US55051,Iron County,17
0500000US55053,Jackson County,74
0500000US55055,Jefferson County,280
0500000US55057,Juneau County,77
0500000US55059,Kenosha County,407
0500000US55061,Kewaunee County,52
0500000US55063,La Crosse County,473
0500000US55065,Lafayette County,42
0500000US55067,Langlade County,87
0500000US55069,Lincoln County,84
0500000US55071,Manitowoc County,175
0500000US55073,Marathon County,241
0500000US55075,Marinette County,117
0500000US55077,Marquette County,34
0500000US55078,Menominee County,21
0500000US55079,Milwaukee County,760
0500000US55081,Monroe County,132
0500000US55083,Oconto County,81
0500000US55085,Oneida County,126
0500000US55087,Outagamie County,337
0500000US55089,Ozaukee County,221
0500000US55091,Pepin County,38
0500000US55093,Pierce County,149
0500000US55095,Polk County,95
0500000US55097,Portage County,280
0500000US55099,Price County,38
0500000US55101,Racine County,402
0500000US55103,Richland County,61
0500000US55105,Rock County,307
0500000US55107,Rusk County,62
0500000US55109,St. Croix County,219
0500000US55111,Sauk County,190
0500000US55113,Sawyer County,110
0500000US55115,Shawano County,105
0500000US55117,Sheboygan County,285
0500000US55119,Taylor County,65
0500000US55121,Trempealeau County,113
0500000US55123,Vernon County,80
0500000US55125,Vilas County,75
0500000US55127,Walworth County,325
0500000US55129,Washburn County,49
0500000US55131,Washington County,309
0500000US55133,Waukesha County,437
0500000US55135,Waupaca County,158
0500000US55137,Waushara County,40
0500000US55139,Winnebago County,371
0500000US55141,Wood County,195
